iter	Passed	Remaining
672	3133	1522
673	3141	1519
674	3146	1515
675	3151	1510
676	3156	1505
677	3161	1501
678	3166	1497
679	3171	1492
680	3176	1487
681	3182	1484
682	3188	1479
683	3194	1475
684	3199	1471
685	3204	1466
686	3208	1461
687	3212	1456
688	3216	1451
689	3219	1446
690	3223	1441
691	3227	1436
692	3230	1431
693	3234	1426
694	3237	1420
695	3241	1415
696	3245	1410
697	3249	1405
698	3253	1400
699	3257	1395
700	3260	1390
701	3264	1385
702	3268	1380
703	3272	1375
704	3275	1370
705	3279	1365
706	3283	1360
707	3287	1355
708	3291	1351
709	3297	1346
710	3303	1342
711	3308	1338
712	3314	1334
713	3319	1329
714	3324	1325
715	3329	1320
716	3334	1316
717	3339	1311
718	3345	1307
719	3351	1303
720	3356	1298
721	3361	1294
722	3366	1289
723	3371	1285
724	3378	1281
725	3384	1277
726	3387	1272
727	3393	1268
728	3399	1263
729	3408	1260
730	3417	1257
731	3425	1254
732	3431	1250
733	3435	1245
734	3439	1240
735	3443	1235
736	3447	1230
737	3450	1225
738	3454	1220
739	3459	1215
740	3462	1210
741	3466	1205
742	3470	1200
743	3475	1195
744	3480	1191
745	3486	1186
746	3493	1183
747	3500	1179
748	3508	1175
749	3515	1171
750	3520	1167
751	3525	1162
752	3529	1157
753	3533	1152
754	3537	1147
755	3541	1142
756	3544	1137
757	3548	1132
758	3552	1127
759	3556	1123
760	3560	1118
761	3564	1113
762	3568	1108
763	3571	1103
764	3575	1098
765	3579	1093
766	3583	1088
767	3587	1083
768	3591	1078
769	3595	1074
770	3600	1069
771	3606	1065
772	3612	1060
773	3617	1056
774	3622	1051
775	3628	1047
776	3632	1042
777	3638	1038
778	3646	1034
779	3655	1030
780	3660	1026
781	3665	1021
782	3670	1017
783	3675	1012
784	3681	1008
785	3686	1003
786	3692	999
787	3700	995
788	3708	991
789	3716	987
790	3722	983
791	3728	979
792	3732	974
793	3740	970
794	3745	965
795	3751	961
796	3757	957
797	3762	952
798	3765	947
799	3769	942
800	3775	937
801	3781	933
802	3788	929
803	3796	925
804	3804	921
805	3810	917
806	3816	912
807	3820	907
808	3824	902
809	3828	897
810	3831	893
811	3836	888
812	3839	883
813	3843	878
814	3847	873
815	3850	868
816	3854	863
817	3858	858
818	3862	853
819	3866	848
820	3871	844
821	3876	839
822	3881	834
823	3886	830
824	3892	825
825	3898	821
826	3904	816
827	3909	812
828	3914	807
829	3918	802
830	3922	797
831	3926	792
832	3930	788
833	3935	783
834	3940	778
835	3945	774
836	3951	769
837	3956	764
838	3961	760
839	3965	755
840	3969	750
841	3973	745
842	3977	740
843	3981	735
844	3984	730
845	3988	726
846	3992	721
847	3996	716
848	4002	711
849	4012	708
850	4021	704
851	4030	700
852	4038	696
853	4046	691
854	4052	687
855	4058	682
856	4063	678
857	4068	673
858	4074	668
859	4079	664
860	4084	659
861	4089	654
862	4094	650
863	4100	645
864	4106	640
865	4111	636
866	4116	631
867	4122	626
868	4127	622
869	4133	617
870	4139	613
871	4145	608
872	4150	603
873	4156	599
874	4161	594
875	4166	589
876	4170	584
877	4174	580
878	4178	575
879	4191	571
880	4195	566
881	4199	561
882	4203	556
883	4207	552
884	4210	547
885	4214	542
886	4218	537
887	4222	532
888	4225	527
889	4229	522
890	4233	517
891	4238	513
892	4243	508
893	4249	503
894	4256	499
895	4264	494
896	4273	490
897	4278	486
898	4285	481
899	4294	477
900	4302	472
901	4311	468
902	4320	464
903	4327	459
904	4335	455
905	4343	450
906	4349	445
907	4357	441
908	4364	436
909	4371	432
910	4377	427
911	4382	422
912	4386	418
913	4392	413
914	4397	408
915	4402	403
916	4406	398
917	4410	393
918	4413	389
919	4417	384
920	4420	379
921	4424	374
922	4428	369
923	4431	364
924	4437	359
925	4441	354
926	4444	350
927	4448	345
928	4452	340
929	4456	335
930	4459	330
931	4463	325
932	4467	320
933	4469	315
934	4473	311
935	4478	306
936	4484	301
937	4488	296
938	4492	291
939	4497	287
940	4502	282
941	4508	277
942	4514	272
943	4522	268
944	4530	263
945	4537	259
946	4544	254
947	4550	249
948	4555	244
949	4560	240
950	4564	235
951	4567	230
952	4571	225
953	4576	220
954	4584	216
955	4589	211
956	4595	206
957	4601	201
958	4607	196
